start,end,calendar_days,trading_days,max_regime_score,mean_regime_score,max_market_volatility,mean_market_volatility,max_avg_correlation,mean_avg_correlation,max_cross_sectional_dispersion,mean_cross_sectional_dispersion
2018-02-08,2018-03-19,40,27,0.8027363972155481,0.7117358673369318,0.0144796910905404,0.013720376702344559,0.575501374226411,0.523983208541573,0.0137194300420479,0.013379425867094005
2018-04-03,2018-04-30,28,20,0.6416096966872393,0.5637918650895651,0.0129365179896959,0.012485882543746657,0.5325765280086764,0.500987276302988,0.0139341498202963,0.012856881284315655
2018-11-09,2018-11-21,13,9,0.6899147985081959,0.594435750183749,0.0139301840595585,0.013261206049500823,0.3791097743119756,0.36823515878831636,0.0186875171357992,0.018023899717061833
2018-12-24,2019-02-07,46,31,1.2016113646680182,1.0138215408655868,0.0179086449409822,0.016203957192765277,0.5820203104403618,0.5421014593327749,0.016538615595204,0.01569196432954888
2019-08-23,2019-09-16,25,16,0.6561707428441717,0.5976349292262149,0.0129491547593286,0.012629017593368657,0.5263802843132803,0.49806490671059267,0.0139111467419089,0.013492639383472168
2020-02-27,2020-07-23,148,103,4.726312804678472,2.2995585467344335,0.0557258490751631,0.029734871234825065,0.804729288976408,0.5714283316799863,0.035843974446782,0.023777528667608582
2020-10-05,2020-10-15,11,9,0.63207668916131,0.6030220247508088,0.0128795629886308,0.012679052859415778,0.4662050221622211,0.45021976585173246,0.0161317165223677,0.015528738630449809
2020-10-28,2020-11-03,7,5,0.6295494643885536,0.5825750878781627,0.0128960408803527,0.01258076371545978,0.4694663375408205,0.45645487950342306,0.0152427845128764,0.014973792745563642
2020-11-12,2020-11-18,7,5,0.5731815259298604,0.5480167356224488,0.0137964272387298,0.013613991513909681,0.3177404012368052,0.3078215352814409,0.0194096175055257,0.01913524632979362
2020-11-23,2020-12-07,15,10,0.5923862470756642,0.563027142795011,0.0139337562373564,0.0136665324257902,0.3064753411494585,0.2932976429762214,0.0203402406705739,0.01998087677095765
2022-05-04,2022-07-29,87,60,1.2379794914153497,1.006511289009984,0.0183278430943543,0.016294808025465565,0.5048208495463654,0.45475837022079624,0.0208969273876645,0.019057333146053325
2022-09-13,2022-12-22,101,72,1.26316368586309,0.90728685099112,0.0179078139683962,0.015310068329087132,0.6049582339463128,0.4992634743914034,0.0190800656052908,0.0164141864314781
2025-04-04,2025-05-21,48,33,1.6732289892468102,1.4859280327734092,0.0232404446610335,0.021708323347685913,0.5624653629332445,0.5242669236150119,0.0207881211964541,0.019172005239899488
